City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
2,Port Elizabeth,ZA,65.1,moderate rain,-33.918,25.5701,39 On Nile Guest House
3,Barranca,PE,67.21,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
4,Veraval,IN,85.33,clear sky,20.9,70.3667,Lords Inn Somnath
5,Arraial Do Cabo,BR,76.23,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
8,Mogadishu,SO,82.27,broken clouds,2.0371,45.3438,Hotel Juba
9,Springbok,ZA,52.25,overcast clouds,-29.6643,17.8865,Undulata Country Lodge
10,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
12,Atuona,PF,79.77,few clouds,-9.8,-139.0333,Villa Enata
13,Byron Bay,AU,80.49,scattered clouds,-28.65,153.6167,Backpackers Inn
14,Cape Town,ZA,61.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
17,Kashi,CN,61.81,few clouds,39.4547,75.9797,帕米尔青年旅舍
18,Wamba,NG,73.36,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
19,Hobart,AU,63.27,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
21,Mataura,NZ,59.31,scattered clouds,-46.1927,168.8643,Ellie's Villa
23,Port Alfred,ZA,64.18,light rain,-33.5906,26.891,The Halyards Hotel
27,Puerto Ayora,EC,76.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
28,Dwarka,IN,82.83,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
29,Azacualpa,HN,74.05,few clouds,15.3433,-88.5514,Guevara
30,Rosamorada,MX,63.75,scattered clouds,22.1222,-105.2058,Hotel Gonzalez
31,Saint-Georges,GD,77.59,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
32,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
34,Arrecife,ES,60.78,clear sky,28.963,-13.5477,Hotel Lancelot
35,Aden,YE,82.18,clear sky,12.7794,45.0367,Sama Emirate Hotel
36,Asyut,EG,66.38,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
