City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ushuaia,AR,-54.8,-68.3,38.86,81,40,4.61,scattered clouds
1,Salalah,OM,17.0151,54.0924,78.89,34,0,2.3,clear sky
2,Port Elizabeth,ZA,-33.918,25.5701,65.1,97,75,10.36,moderate rain
3,Barranca,PE,-10.75,-77.7667,67.21,88,77,6.91,broken clouds
4,Veraval,IN,20.9,70.3667,85.33,48,9,4.29,clear sky
5,Arraial Do Cabo,BR,-22.9661,-42.0278,76.23,87,98,7.61,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,23.02,clear sky
7,Upernavik,GL,72.7868,-56.1549,7.14,96,92,10.94,overcast clouds
8,Mogadishu,SO,2.0371,45.3438,82.27,78,75,10.36,broken clouds
9,Springbok,ZA,-29.6643,17.8865,52.25,75,94,0.74,overcast clouds
10,Butaritari,KI,3.0707,172.7902,82.04,77,23,15.95,light rain
11,Evensk,RU,61.95,159.2333,26.55,76,30,1.54,scattered clouds
12,Atuona,PF,-9.8,-139.0333,79.77,75,20,18.86,few clouds
13,Byron Bay,AU,-28.65,153.6167,80.49,74,31,11.59,scattered clouds
14,Cape Town,ZA,-33.9258,18.4232,61.11,76,0,6.91,clear sky
15,Arkhangelsk,RU,64.5401,40.5433,6.91,85,20,2.24,few clouds
16,Longyearbyen,SJ,78.2186,15.6401,6.64,61,20,17.27,few clouds
17,Kashi,CN,39.4547,75.9797,61.81,27,20,8.95,few clouds
18,Wamba,NG,8.9333,8.6,73.36,65,95,2.8,overcast clouds
19,Hobart,AU,-42.8794,147.3294,63.27,71,75,8.05,broken clouds
20,Provideniya,RU,64.3833,-173.3,12.29,68,0,10.02,clear sky
21,Mataura,NZ,-46.1927,168.8643,59.31,69,37,6.42,scattered clouds
22,Lata,PT,40.1629,-8.3327,39.92,59,25,4.76,scattered clouds
23,Port Alfred,ZA,-33.5906,26.891,64.18,96,100,5.01,light rain
24,Ostrovnoy,RU,68.0531,39.5131,20.16,87,100,11.07,overcast clouds
25,Taoudenni,ML,22.6783,-3.9836,76.39,14,0,3.31,clear sky
26,Albany,US,42.6001,-73.9662,38.52,65,100,2.37,overcast clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,76.55,96,25,6.17,scattered clouds
28,Dwarka,IN,22.2394,68.9678,82.83,58,0,9.06,clear sky
29,Azacualpa,HN,15.3433,-88.5514,74.05,99,19,0.6,few clouds
30,Rosamorada,MX,22.1222,-105.2058,63.75,93,32,2.13,scattered clouds
31,Saint-Georges,GD,12.0564,-61.7485,77.59,78,39,17.47,scattered clouds
32,Grand Gaube,MU,-20.0064,57.6608,77.4,88,100,5.99,light rain
33,Bjornevatn,NO,69.6672,29.9847,21.54,79,40,2.3,scattered clouds
