City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Odesskoye,RU,2022-04-02 04:09:47,54.2111,72.9651,33.19,100,100,6.4
1,Hilo,US,2022-04-02 04:06:07,19.7297,-155.09,73.13,90,100,9.22
2,Hithadhoo,MV,2022-04-02 04:09:47,-0.6,73.0833,83.34,69,6,8.93
3,Arlit,NE,2022-04-02 04:09:48,18.7369,7.3853,79.9,4,100,5.32
4,Antalaha,MG,2022-04-02 04:09:48,-14.9003,50.2788,74.82,90,77,5.75
5,Oudtshoorn,ZA,2022-04-02 04:09:49,-33.5907,22.2014,58.12,82,79,1.61
6,Fortuna,US,2022-04-02 04:09:49,40.5982,-124.1573,48.92,87,75,10.36
7,Port Lincoln,AU,2022-04-02 04:09:50,-34.7333,135.8667,65.35,56,70,13.67
8,Kristiansund,NO,2022-04-02 04:09:50,63.1115,7.732,34.45,86,100,6.91
9,Omboue,GA,2022-04-02 04:09:51,-1.5746,9.2618,73.78,96,100,4.29
10,Bredasdorp,ZA,2022-04-02 04:09:51,-34.5322,20.0403,63.43,66,99,11.05
11,Lavrentiya,RU,2022-04-02 04:09:52,65.5833,-171.0,10.35,70,16,15.57
12,Busselton,AU,2022-04-02 04:09:52,-33.65,115.3333,80.49,51,84,9.75
13,Sisimiut,GL,2022-04-02 04:09:52,66.9395,-53.6735,23.59,72,12,5.55
14,Thinadhoo,MV,2022-04-02 04:09:53,0.5333,72.9333,83.16,71,11,8.21
15,Katsuura,JP,2022-04-02 04:09:29,35.1333,140.3,49.14,59,100,10.6
16,Punta Arenas,CL,2022-04-02 04:08:42,-53.15,-70.9167,35.71,93,0,5.75
17,Ilulissat,GL,2022-04-02 04:09:54,69.2167,-51.1,28.42,69,2,1.14
18,Upernavik,GL,2022-04-02 04:09:36,72.7868,-56.1549,8.82,96,100,9.71
19,Puerto Ayora,EC,2022-04-02 04:09:55,-0.7393,-90.3518,77.56,98,22,5.28
20,Rikitea,PF,2022-04-02 04:09:28,-23.1203,-134.9692,75.47,62,8,12.82
21,Codrington,AU,2022-04-02 04:09:55,-38.2667,141.9667,63.91,67,100,17.47
22,Cape Town,ZA,2022-04-02 04:09:03,-33.9258,18.4232,63.27,71,6,3.0
23,Hobart,AU,2022-04-02 04:09:49,-42.8794,147.3294,60.26,76,100,18.41
24,Mataura,NZ,2022-04-02 04:09:56,-46.1927,168.8643,62.6,60,5,7.36
25,Pangkalanbuun,ID,2022-04-02 04:09:57,-2.6833,111.6167,94.77,45,76,2.24
26,Bathsheba,BB,2022-04-02 04:09:57,13.2167,-59.5167,79.41,69,40,20.71
27,Albany,US,2022-04-02 04:07:36,42.6001,-73.9662,35.76,67,77,3.0
28,Oeiras,BR,2022-04-02 04:09:58,-7.0253,-42.1311,72.19,86,97,1.68
29,Mar Del Plata,AR,2022-04-02 04:09:18,-38.0023,-57.5575,56.88,82,0,5.75
30,Bossangoa,CF,2022-04-02 04:09:58,6.4926,17.4552,73.53,75,79,7.2
31,Tilichiki,RU,2022-04-02 04:09:59,60.4667,166.1,22.93,83,100,11.63
32,Geraldton,AU,2022-04-02 04:09:59,-28.7667,114.6,84.61,58,100,12.66
33,Namatanai,PG,2022-04-02 04:10:00,-3.6667,152.4333,75.24,92,100,0.25
34,Boyolangu,ID,2022-04-02 04:10:00,-8.1181,111.8935,84.9,69,87,4.29
35,Hauterive,FR,2022-04-02 04:10:01,46.0901,3.4459,32.76,98,100,11.59
36,Srednekolymsk,RU,2022-04-02 04:10:01,67.45,153.6833,1.08,82,87,8.28
37,Butaritari,KI,2022-04-02 04:10:02,3.0707,172.7902,82.26,72,40,19.51
38,Atuona,PF,2022-04-02 04:10:02,-9.8,-139.0333,79.09,73,42,7.74
39,Hofn,IS,2022-04-02 04:10:03,64.2539,-15.2082,39.78,74,100,4.88
40,Carnarvon,AU,2022-04-02 04:10:03,-24.8667,113.6333,84.27,70,17,14.97
41,Ialibu,PG,2022-04-02 04:10:04,-6.2821,143.9935,64.2,81,100,5.7
42,Villacarrillo,ES,2022-04-02 04:10:04,38.1156,-3.0848,33.01,61,20,6.51
43,Tougue,GN,2022-04-02 04:10:05,11.4667,-11.6,72.03,31,3,3.69
44,Kapaa,US,2022-04-02 04:10:05,22.0752,-159.319,80.58,96,100,18.41
45,Northam,GB,2022-04-02 04:10:06,51.0333,-4.2167,37.65,79,99,3.2
46,Faya,SA,2022-04-02 04:11:07,18.3851,42.4509,54.12,18,2,5.64
47,Mecca,SA,2022-04-02 04:10:16,21.4267,39.8261,78.03,32,1,2.13
48,Hovd,MN,2022-04-02 04:11:07,48.0056,91.6419,44.4,14,100,2.95
49,Tasiilaq,GL,2022-04-02 04:11:08,65.6145,-37.6368,32.16,91,100,9.53
50,Nanortalik,GL,2022-04-02 04:11:08,60.1432,-45.2371,34.54,88,51,4.83
51,Hami,CN,2022-04-02 04:11:09,42.8,93.45,60.64,13,2,3.6
52,New Norfolk,AU,2022-04-02 04:11:10,-42.7826,147.0587,59.9,57,73,5.01
53,Selishche,RU,2022-04-02 04:11:10,56.8879,33.2691,24.35,91,100,9.04
54,Ushuaia,AR,2022-04-02 04:11:11,-54.8,-68.3,38.86,60,0,2.3
55,Guerrero Negro,MX,2022-04-02 04:11:11,27.9769,-114.0611,59.5,78,0,11.56
56,Kaitangata,NZ,2022-04-02 04:11:11,-46.2817,169.8464,63.88,58,0,9.69
57,Vila Franca Do Campo,PT,2022-04-02 04:11:12,37.7167,-25.4333,55.81,94,100,7.45
58,Nome,US,2022-04-02 04:11:12,64.5011,-165.4064,24.87,54,0,8.05
59,Hambantota,LK,2022-04-02 04:11:13,6.1241,81.1185,82.78,71,35,5.53
60,Hermanus,ZA,2022-04-02 04:11:14,-34.4187,19.2345,58.8,72,92,14.16
61,Bluff,NZ,2022-04-02 04:11:14,-46.6,168.3333,59.18,73,81,17.58
62,Pevek,RU,2022-04-02 04:11:14,69.7008,170.3133,-2.96,87,100,2.75
63,Ulladulla,AU,2022-04-02 04:11:15,-35.35,150.4667,63.77,72,100,17.6
64,Hasaki,JP,2022-04-02 04:11:15,35.7333,140.8333,52.29,50,100,7.23
65,Cockburn Town,TC,2022-04-02 04:09:21,21.4612,-71.1419,77.59,74,0,21.5
66,Ribeira Grande,PT,2022-04-02 04:11:16,38.5167,-28.7,58.87,60,19,17.07
67,Kopavogur,IS,2022-04-02 04:11:16,64.1123,-21.913,41.22,88,100,7.63
68,Port Blair,IN,2022-04-02 04:11:17,11.6667,92.75,86.04,70,20,10.36
69,Camopi,GF,2022-04-02 04:11:18,3.1655,-52.3158,71.22,100,100,1.39
70,Saint-Philippe,RE,2022-04-02 04:11:18,-21.3585,55.7679,73.11,91,100,15.43
71,Stonehaven,GB,2022-04-02 04:11:19,56.9637,-2.2118,35.53,98,100,3.24
72,Buturlinovka,RU,2022-04-02 04:11:19,50.8239,40.6092,50.74,72,71,13.76
73,Cherskiy,RU,2022-04-02 04:11:19,68.75,161.3,-4.45,82,100,1.12
74,Ahuimanu,US,2022-04-02 04:11:20,21.4447,-157.8378,74.91,76,75,10.36
75,Bitung,ID,2022-04-02 04:08:08,1.4451,125.1824,88.65,66,42,2.82
76,Vestmannaeyjar,IS,2022-04-02 04:11:21,63.4427,-20.2734,43.57,79,100,5.88
77,Dikson,RU,2022-04-02 04:11:21,73.5069,80.5464,7.97,92,98,7.0
78,Port Alfred,ZA,2022-04-02 04:11:21,-33.5906,26.891,61.18,97,100,1.01
79,Prince Rupert,CA,2022-04-02 04:10:07,54.3161,-130.3201,39.63,87,97,6.31
80,Mersing,MY,2022-04-02 04:11:22,2.4312,103.8405,87.24,64,21,1.45
81,Lebu,CL,2022-04-02 04:11:23,-37.6167,-73.65,54.9,94,3,11.79
82,Petropavlovsk-Kamchatskiy,RU,2022-04-02 04:11:23,53.0452,158.6483,30.79,37,75,22.37
